lecture_id,questions,answer,source_sentence,entity,,,
32,What are the basic components of an argument?,"A claim, reasons behind the claim, and evidence supporting the claim.","The basic components of an argument include a claim, reasons behind the claim, and pieces of evidence to support the claim.",MISC,,,
32,What is a thesis statement?,A one- to two-sentence statement that presents the main idea and an assertion about the issue.,Thesis statement is a one- to two-sentence statement that presents the main idea and makes an assertion about your issue.,MISC,,,
33,What are the two types of evaluation?,Evaluation can be objective or subjective.,Evaluating a text or performance can be objective or subjective.,MISC,,,
33,What is objective evaluation?,"It involves fairness, no bias, and no personal feelings, and uses tools or criteria.","Objective evaluation involves fairness, no bias, and no personal feelings, and uses helpful tools or criteria.",MISC,,,
33,What helps make judging easier?,Criteria make judging easier.,Judging becomes easier with the help of criteria.,MISC,,,
33,What do criteria guide evaluators on?,The scope and limitations of what to judge.,Criteria guide evaluators on the scope and limitations of what to judge or examine.,MISC,,,
33,What are criteria?,"A set of standards or principles used to judge a work, output, or performance.","Criteria are a set of standards or principles considered in judging a work, output, or performance.",MISC,,,
33,What is content in evaluation?,"It refers to ideas, concepts, focus, or details of the subject matter.","Content refers to the idea, concept, focus, or details of the subject matter.",MISC,,,
33,What is cohesion?,"The connection and organization of words, phrases, ideas, and concepts.","Cohesion refers to the connection and organization of words, phrases, ideas, and concepts.",MISC,,,
33,What does grammar deal with?,Fluency and accuracy in language structure.,Grammar deals with fluency and accuracy in language structure.,MISC,,,
33,What are mechanics in writing?,Accuracy in punctuation and capitalization.,Mechanics refers to accuracy in punctuation and capitalization.,MISC,,,
33,What is word choice?,The appropriateness of words in terms of depth and formality.,Word choice deals with appropriateness of words based on depth and formality.,MISC,,,
33,What is tone?,The emotion or feelings expressed by the text.,Tone refers to the emotion or feelings expressed by the text.,MISC,,,
33,What are the common criteria?,"Content, cohesion, grammar, tone, word choice, and mechanics.","The common criteria include content, cohesion, grammar, tone, word choice, and mechanics.",MISC,,,
34,What should students be able to classify?,Examples of multimodal texts according to their type.,Students should classify examples of multimodal texts according to their type.,MISC,,,
34,Why should students appreciate multimodal elements?,To understand the importance of using different modes for effective communication.,Students should appreciate the importance of using different modes to communicate effectively.,MISC,,,
34,What is a multimedia or multimodal text?,A text that uses two or more modes to communicate meaning.,A multimedia or multimodal text uses two or more modes to communicate meaning.,MISC,,,
34,How do different modes work together?,"They make messages clearer, stronger, and more engaging.","Different modes work together to make messages clearer, stronger, and more engaging.",MISC,,,
34,What are the five modes of multimodal communication?,"Linguistic, gestural, visual, spatial, and audio.","The five modes include linguistic, gestural, visual, spatial, and audio.",MISC,,,
35,What is effectiveness?,The degree of achieving the desired result based on an objective or purpose.,Effectiveness refers to the degree of being able to achieve the desired result based on an objective or purpose.,MISC,,,
35,What is accessibility?,"The quality of being easy to find, obtain, and use.","Accessibility refers to the quality of being easy to find, obtain, and use.",MISC,,,
35,What is text accessibility?,The arrangement of words for them to be easily accessed.,Text accessibility is the arrangement of words for them to be easily accessed.,MISC,,,
35,What is image accessibility?,It provides additional information about the text or concept.,Image accessibility provides additional information about the text or concept.,MISC,,,
35,What is audio accessibility?,It provides additional information through listening skills.,Audio accessibility provides additional information through listening skills.,MISC,,,
35,What is video accessibility?,It provides additional information through listening and viewing skills.,Video accessibility provides additional information through listening and viewing skills.,MISC,,,
36,What is the lesson asking you to identify?,The type of non-linear text being described.,Identify what non-linear text is being described.,MISC,,,
36,"What is the objective regarding plot, setting, and characterization?",To appraise their unity to achieve the writer’s purpose.,"Plot, Setting and Characterization Objective: Appraise the unity of plot, setting and characterization in a material viewed to achieve the writer’s purpose.",MISC,,,
36,What are the three key story elements discussed?,"Plot, setting, and characterization.",Plot Setting Characterization,MISC,,,
36,What are characters in a story?,"Persons, creatures, or things serving as actors or movers.","Characters refer to persons, creatures or things serving as actors or movers in a story.",MISC,,,
36,Who is the protagonist?,The main character around whom the story revolves.,A protagonist is the main character in which the whole story revolves.,MISC,,,
36,Who is the antagonist?,A character or group that causes conflict for the protagonist.,An antagonist is a character or group of characters which cause the conflict for the protagonist.,MISC,,,
36,What are minor characters?,"Foil, static, dynamic, and flat characters.","Minor characters include foil, static, dynamic, and flat characters.",MISC,,,
36,What is characterization?,A writer’s tool that uses details to teach us about a person.,Characterization is a writer’s tool that uses details to teach us about a person.,MISC,,,
36,What does a plot show?,How events are arranged to develop the basic idea.,A plot shows how the author arranges events to develop the basic idea.,MISC,,,
36,What is exposition?,The beginning of the story.,The exposition is the beginning of the story.,MISC,,,
36,What is conflict?,Any struggle the main character faces.,Conflict is any form of struggle the main character faces.,MISC,,,
36,What are the types of conflict?,"Character vs. self, character vs. character, character vs. nature, and character vs. society.","Types of conflict include character vs. self, character vs. character, character vs. nature, and character vs. society.",MISC,,,
36,What is the climax?,The turning point of the story.,The climax is the turning point of the story.,MISC,,,
36,What is falling action?,The part where the resolution begins.,Falling action is where the resolution begins.,MISC,,,
36,What is the resolution?,The final outcome of events in the story.,Resolution is the final outcome of events in the story.,MISC,,,
36,What is setting?,The time and location where a story takes place.,Setting refers to the time and location when and where a story takes place.,MISC,,,
36,What are the aspects of setting?,"Place, time, weather, social conditions, and mood.","Aspects of setting include place, time, weather, social conditions and mood.",MISC,,,
37,What is an argument?,An idea that supports the claim.,An argument is an idea that supports the claim.,MISC,,,
37,What does an argumentative essay present?,Evidence for a claim.,An argumentative essay presents evidences for a claim in order to let the reader know why it is more favorable.,MISC,,,
37,What is an issue?,An idea about which people have different opinions.,Issue is an idea about which the opinions of people are different.,MISC,,,
37,What is a claim?,A statement by an author about an issue.,Claim is a statement by an author about an issue.,MISC,,,
37,What does evidence refer to?,Facts in the real world that support an argument.,Evidence refers to facts in the real world that support an argument.,MISC,,,
37,What is a counterargument?,An idea given by the opposing side against the claim.,Counterargument is an idea given by the opposing side against the claim.,MISC,,,
37,What is a rebuttal?,A response to the counterargument.,Rebuttal is the response to the counterargument.,MISC,,,
37,What is the introduction in an argumentative essay?,The introductory paragraph or gateway of an essay.,Introduction is the introductory paragraph or gateway of an essay.,MISC,,,
37,What does the introduction include?,The thesis statement.,It introduces the thesis statement of the essay.,MISC,,,
37,What is the body of an essay?,The section where facts and supporting arguments are written.,The body is where facts and arguments supporting the thesis are written.,MISC,,,
37,What is refutation?,The argument used to refute earlier arguments.,Refutation or counterargument is the argument used to refute earlier arguments.,MISC,,,
37,What does the conclusion do?,"Rephrases the thesis, major points, and may give recommendations.","The conclusion rephrases the thesis, major points, and may give recommendations.",MISC,,,
37,Who proposed techniques for argumentative writing in 2019?,Sarikas.,"According to Sarikas (2019), argumentative writing techniques include...",PERSON,,,
37,When did Sarikas publish the techniques?,2019.,"According to Sarikas (2019), argumentative writing techniques include...",DATE,,,
37,What are some techniques of argumentative writing?,"Making the thesis clear, using evidence, showing the weakness of the other side, and using logical connectors.","According to Sarikas (2019), argumentative writing techniques include...",MISC,,,
38,What is persuasive writing?,"A type of writing that aims to convince people to think, feel, or act in the writer’s way.","Persuasive writing is a type of writing that aims at convincing people to think, feel, or act in the writer’s way.",MISC,,,
38,What elements does persuasive writing include?,"The writer’s opinion, supporting evidence, and the action desired from readers.","Persuasive writing includes the writer’s opinion, evidence to support it, and the action the writer wants readers to do.",MISC,,,
38,What is a rhetorical question?,A question not intended to be answered but meant to make readers think.,A rhetorical question is a question not intended to be answered but meant to make readers think.,MISC,,,
38,What is repetition in persuasive writing?,Repeating key words or phrases to help readers remember them.,Repetition involves repeating key words or phrases to make readers remember them.,MISC,,,
38,What is the bandwagon technique?,A persuasive technique that convinces readers to believe something because many others believe it.,Bandwagon is a technique that convinces readers to believe something because many others believe it.,MISC,,,
38,What does appeal to emotion do?,Uses emotive language to sway readers.,Appeal to emotion uses emotive language to sway readers.,MISC,,,
38,What is an appeal to authority?,A technique where a writer uses facts and figures to support claims.,Appeal to authority requires the writer to use facts and figures to support claims.,MISC,,,
38,How many students got higher grades in the example?,Nine out of 10 students.,Nine out of 10 students got higher grades because of the modular learning setup.,QUANTITY,,,
39,What is nutrient deficiency?,It is when the body does not receive or absorb the necessary amount of nutrients from food.,Nutrient deficiency happens when the body does not receive or absorb the necessary amount of nutrients from food.,MISC,,,
39,What is iron deficiency?,"It occurs when there is insufficient iron in the body, causing anemia.","Iron deficiency occurs when there is insufficient iron in the body, causing anemia.",MISC,,,
39,What happens when the body cannot produce enough red blood cells due to iron deficiency?,The person becomes tired and experiences shortness of breath.,"The body cannot produce enough red blood cells during iron deficiency, leading to tiredness and shortness of breath.",MISC,,,
39,What is zinc deficiency?,"It occurs when the body does not receive enough zinc, causing appetite loss and poor immune function.","Zinc deficiency occurs when the body does not receive enough zinc, leading to appetite loss and poor immune function.",MISC,,,
39,What is iodine deficiency?,"It occurs when the body lacks enough iodine, causing metabolic problems such as goiter.","Iodine deficiency happens when the body lacks enough iodine, causing metabolic problems such as goiter.",MISC,,,
39,What are digestive diseases?,They occur when harmful foods upset the gastrointestinal tract.,Digestive diseases occur when harmful foods upset the gastrointestinal tract.,MISC,,,
39,What is colon cancer?,It is a growth of cells that begins in the colon.,Colon cancer is a growth of cells beginning in the colon.,MISC,,,
40,What is Statistics?,"It is the art of collecting, presenting, analyzing, and interpreting data.","Statistics is the art of collecting, presenting, analyzing, and interpreting data.",MISC,,,
40,What branch of Mathematics summarizes data and helps investigators draw conclusions?,Statistics.,Statistics is a branch of Mathematics used to summarize quantities of data and help investigators draw sound conclusions.,MISC,,,
40,What is a sample?,A set of measurements or data drawn from a larger population.,A sample is a specified set of measurements or data drawn from a much larger body of measurements or data called a population.,MISC,,,
40,What is a population?,The totality of objects under investigation.,A population identifies the totality of objects under investigation.,MISC,,,
40,What is the importance of Statistics?,It helps solve real-life problems and can be applied in many fields.,Statistics is important in solving real-life problems and can be applied in many fields.,MISC,,,
41,What does star formation theory state?,That stars are formed when a dense region of molecular cloud collapses.,Star formation theory states that stars are formed when a dense region of molecular cloud collapses,MISC,,,
41,What forms when fragments of clouds contract?,A stellar core known as protostar.,During this process fragments of clouds contract and form a stellar core known as protostar,MISC,,,
41,What triggers the nuclear reaction in a protostar?,Reaching 10 million Kelvin.,The contraction and gravitational force of the protostar result in an increase in temperature which triggers nuclear reaction within the star upon reaching 10 million Kelvin,QUANTITY,,,
41,What forms when a protostar attains gravitational equilibrium?,A main sequence star.,"the protostar attains its gravitational equilibrium, a main sequence star will be formed.",MISC,,,
41,Where do hydrogen and helium fuse in a main sequence star?,In the core.,"In the core of a main sequence star hydrogen fuses with helium through 
proton-proton chain",LOC,,,
41,What element is formed when helium is converted at the core?,Carbon.,helium is converted to carbon at the core,MISC,,,
41,What happens in massive stars during later stages?,Heavier elements fuse around the shell of the core.,Massive stars undergo a series of stages,MISC,,,
41,What elements are produced from successive fusion processes?,"Carbon, neon, magnesium, silicon, and iron.",Carbon will be formed iron from silicon fusion.,MISC,,,
41,What happens to low-mass stars with insufficient energy?,They blow off outer layers and form white dwarfs.,"With low mass stars, considering that the 
amount of energy is not enough to sustain the reaction, and that the stars fuel has 
been exhausted the outer material covering the star will eventually be blown-off  
leaving an inert carbon core resulting to the formation of white dwarf",MISC,,,
41,What is stellar nucleosynthesis?,Formation of heavier elements by combining protons and neutrons of lighter elements.,"Stellar nucleosynthesis, a process in which heavier elements such as Beryllium (4Be) and Iron (26Fe) were formed by combining protons and neutrons from the nuclei of a lighter elements",MISC,,,
41,will be produced by silicon fusion during red giant formation?,Iron.,"On the other hand, since massive stars possess enough energy, mass, temperature, and pressure, the star will undergo a series of stages where heavier elements are fused around the shell of the core whereas carbon will be formed through helium fusion, neon will be formed through oxygen fusion, magnesium from neon fusion, silicon from magnesium fusion, and iron from silicon fusion which denotes the formation of red giant",MISC,,,
41,What occurs when a star’s core cannot resist gravity?,A supernova.,A supernova occurs when the core can no longer produce…,MISC,,,
41,What supports stellar formation theory?,Interstellar dust and gases.,Interstellar dust and gases support…,MISC,,,
41,Who arranged elements by atomic number?,Henry Moseley.,Henry Moseley arranged the elements…,PERSON,,,
41,What increases when a proton is added to an element?,Atomic number.,He emphasized that adding a proton increases atomic number…,MISC,,,
41,What is alpha emission?,Release of a particle with two protons and two neutrons.,Alpha emission releases a particle…,QUANTITY,,,
41,What is beta emission?,A neutron becomes a proton and ejects an electron.,Beta emission occurs when…,MISC,,,
42,What is polarity?,"Polarity refers to having a dipole, meaning a positive and a negative end.","Polarity refers to having a dipole, that is, a positive and a negative end.",MISC,,,
42,What dictates the polarity of a molecule?,The distribution of electrons in the molecule.,Polarity is dictated by the distribution of electrons in the molecule.,MISC,,,
42,What are the classifications of molecules based on polarity?,Molecules can be polar or nonpolar.,Molecules can be classified as polar or nonpolar.,MISC,,,
42,What aspect of molecules is affected by polarity?,Polarity affects the behavior of a molecule.,Polarity affects and influences the behavior of a molecule.,MISC,,,
42,What can be used to predict polarity?,The shape of the molecule.,The polarity of a molecule can be predicted from its shape.,MISC,,,
42,What happens when electrons are unequally shared in a bond?,Partial positive and negative charges form.,"When electrons in a polar covalent bond are unequally shared, partial charges form.",MISC,,,
42,What causes polarity in a molecule?,The separation of charge produced by uneven electron distribution.,This charge separation is responsible for polarity.,MISC,,,
42,What describes the polarity of a bond?,Dipole moment.,Dipole moment describes the polarity of a bond in a molecule.,MISC,,,
42,What happens if dipole moments do not cancel?,The molecule becomes polar.,"If dipole moments do not cancel out, the molecule is polar.",MISC,,,
42,What arrangement produces polar molecules?,Polar bonds arranged asymmetrically.,Polar molecules result from polar bonds arranged asymmetrically.,MISC,,,
42,What results when dipole moments cancel out?,The molecule becomes nonpolar.,"If dipole moments cancel, the molecule is nonpolar.",MISC,,,
42,What is solubility?,The ability of a substance to dissolve in another.,Solubility is the ability of a substance to dissolve in another.,MISC,,,
42,What is miscibility?,The ability of two liquids to mix in all proportions.,Miscibility refers to the ability of two liquids to mix in all proportions.,MISC,,,
42,What property directly affects solubility and miscibility?,Polarity.,Polarity directly affects solubility and miscibility.,MISC,,,
42,What types of liquids mix together?,Liquids of similar polarity.,Polar liquids mix with polar liquids; nonpolar with nonpolar.,MISC,,,
42,What rule explains how substances dissolve or mix?,Like dissolves like and like mixes with like.,Like dissolves like and like mixes with like.,MISC,,,
42,What factor influences boiling point?,Polarity of molecules.,Polarity influences boiling point.,MISC,,,
42,Why do more polar molecules have higher boiling points?,They have stronger intermolecular attractions requiring more energy to separate.,More polar molecules have stronger attraction and higher boiling points.,MISC,,,
42,Why do nonpolar molecules tend to have lower boiling points?,They have weaker intermolecular forces.,Nonpolar molecules have lower boiling points due to weaker attractions.,MISC,,,
43,What is an intermolecular force of attraction?,It is an attractive force between neighboring molecules.,An intermolecular force of attraction (IMFA) is simply an attractive force between neighboring molecules.,MISC,,,
43,What are the three common types of intermolecular forces?,"London dispersion forces, dipole-dipole, and hydrogen bonds.","There are three common types, namely: London dispersion forces, dipole-dipole, and hydrogen bonds.",MISC,,,
43,What type of force is present in all molecules regardless of polarity?,London dispersion forces.,"London dispersion forces are present in molecules, regardless of the polarity.",MISC,,,
43,Where are dipole-dipole forces present?,Only in polar molecules.,Dipole-dipole forces are present only in polar molecules.,MISC,,,
43,What is a hydrogen bond?,"A special dipole-dipole interaction involving hydrogen bonded to F, O, or N.","Hydrogen bond is a special type of dipole-dipole interaction that occurs in molecules having a hydrogen atom bonded to an electronegative atom such as fluorine, oxygen, or nitrogen.",MISC,,,
43,Which intermolecular force is the strongest?,Hydrogen bond.,It is the strongest intermolecular force of attraction among the three.,MISC,,,
43,What do intermolecular forces influence in matter?,Phase changes.,Intermolecular forces are involved in phase changes.,MISC,,,
43,What determines the physical properties of molecules?,The type and strength of IMFA.,The physical properties of molecules depend upon the type and strength of their intermolecular forces of attraction.,MISC,,,
43,What physical properties are affected by IMFA?,"Solubility, melting point, boiling point, surface tension, viscosity, capillary action, and evaporation rate.","These properties are solubility, melting point, boiling point, surface tension, viscosity, capillary action, and evaporation rate.",MISC,,,
43,How do stronger IMFA affect melting and boiling points?,They increase melting and boiling points.,Substances with stronger IMFA have higher melting and boiling points.,MISC,,,
44,What are living organisms primarily made up of?,Organic compounds,Living organisms are primarily made up of organic compounds.,MISC,,,
44,What is the process of building organic molecules by living organisms?,Biosynthesis,The process of building organic molecules by living organisms is called biosynthesis.,MISC,,,
44,What are biomolecules also known as?,Macromolecules,Biomolecules (also known as macromolecules) are organic compounds that make up all living organisms.,MISC,,,
44,What are the four main macromolecules?,"Carbohydrates, lipids, nucleic acids, proteins","The four macromolecules are carbohydrates, lipids, nucleic acids, and proteins.",MISC,,,
44,Explain the general structure of carbohydrates.,"Carbon-rich molecules in a 1:2:1 ratio of carbon, hydrogen, and oxygen","Carbohydrates have a 1:2:1 ratio of carbon, hydrogen, and oxygen.",QUANTITY,,,
44,How are carbohydrates classified?,Simple or complex,Carbohydrates are classified as simple or complex.,MISC,,,
44,What is the solubility property of lipids?,Insoluble in water but soluble in nonpolar solvents,Lipids are insoluble in water but soluble in nonpolar solvents.,MISC,,,
44,What are the three major functions of lipids?,"Energy storage, structural, chemical messengers","Lipids have three major functions: energy storage, structural, and chemical messengers.",MISC,,,
44,What is a fat molecule composed of?,Long-chain fatty acids bonded to glycerol,Fats are composed of long-chain fatty acids bonded to glycerol.,MISC,,,
44,What distinguishes unsaturated fats from saturated fats?,Unsaturated fats have double bonds and are liquid; saturated fats have no double bonds and are solid,"Unsaturated fats have at least one double bond and are liquid at room temperature. Saturated fats have no double bonds, are solid at room temperature, and are present in animal fats.",MISC,,,
44,What is the primary function of nucleic acids?,Store and transmit genetic information,Nucleic acids store genetic information and exist as DNA or RNA.,MISC,,,
44,What are nucleotides composed of?,"Pentose sugar, phosphate group, nitrogenous base","Nucleotides are composed of a pentose sugar, phosphate group, and nitrogenous base.",MISC,,,
44,What are proteins made of?,Amino acids,Proteins are complex macromolecules with 20 known amino acids as building blocks.,QUANTITY,,,
44,What makes each amino acid unique?,Its side chain (R group),"Each amino acid has an amino group, carboxylic group, and a unique side chain (R group).",MISC,,,
44,How are proteins classified?,"Structural, regulatory, contractile, protective, transport, storage","Proteins are classified by function: structural, regulatory, contractile, protective, transport, and storage.",MISC,,,
45,What are biological macromolecules important components of?,Living systems,Biological macromolecules are large molecules that are important components of living systems.,MISC,,,
45,Why are biological macromolecules vital?,They are vital to sustaining life.,"Performing a variety of functions, they are vital to sustaining life.",MISC,,,
45,What role do macromolecules perform in cells?,A crucial role in cell structure and processes.,Macromolecules perform a crucial role in our cell structure and processes.,MISC,,,
45,What are polymers made of?,Covalently linked basic units called monomers.,Majority of biological macromolecules are polymers and are made of covalently linked basic units called monomers.,MISC,,,
45,What results when monomers link in various combinations?,Formation of polymers with different structures and functions.,Monomers that link with other monomers in various combinations result in the formation of polymers with different structures and functions.,MISC,,,
45,What functions do carbohydrates serve?,"Energy source, energy storage, structural support, and food.","Carbohydrates serve as a primary source of energy, storage of energy, structural support for cells, and food.",MISC,,,
45,What makes proteins important in living systems?,They are the most abundant organic molecules and perform diverse functions.,"Proteins are the most abundant organic molecules in living systems and have diverse functions including regulatory, structural, protective, contractile, transport, and storage roles.",MISC,,,
45,What functions do lipids perform?,"Energy storage, insulation, hormone building, and forming plasma membranes.","Lipids include fats, oils, waxes, phospholipids, and steroids and perform functions such as energy storage, insulation, hormone building, and forming plasma membranes.",MISC,,,
45,What are nucleic acids vital for?,Continuity of life.,Nucleic acids are biological macromolecules vital in the continuity of life.,MISC,,,
45,What do nucleic acids carry?,Genetic material of a cell.,Nucleic acids carry the genetic material of a cell and provide instructions for cellular functioning.,MISC,,,
46,Who needs to develop good written and oral communication skills?,Engineering students,"As an engineering student, you need to develop good written and oral communication skills.",PERSON,,,
46,What should engineers know how to present?,"Thoughts, a concept for a product or service, and an engineering analysis of a problem and its solution","You need to know how to express your thoughts, present a concept for a product or a service, and present an engineering analysis of a problem and its solution.",MISC,,,
46,What tools can engineers use to communicate design ideas?,Engineering drawings or computer-aided modeling techniques,You need to know how to communicate design ideas by means of engineering drawings or computer-aided modeling techniques.,MISC,,,
46,What forms can engineering reports take?,"Detailed reports with charts, graphs, and drawings or brief forms like progress reports, memorandums, or executive summaries","Most engineers are required to write reports that may be detailed and lengthy, may contain charts, graphs, and engineering drawings, or may be brief in the forms of progress reports, memorandum, or executive summary.",MISC,,,
46,What are the four basic steps in problem solving?,"Defining the problem, simplifying the problem, performing the solution or analysis, verifying the results","Problem Solving involves 4 basic steps: defining the problem, simplifying the problem, performing the solution or analysis, and verifying the results.",MISC,,,
46,What should you understand when defining a problem?,"What is being asked, what is known, and what is to be determined","In defining the problem, understand what is being asked, what is known, and what is to be determined.",MISC,,,
46,What should be done when simplifying a problem?,"Make appropriate assumptions and understand fundamental concepts, physical laws, and their limitations","In simplifying the problem, make appropriate assumptions and understand the fundamental concepts, physical laws, and their limitations.",MISC,,,
46,What should you do when performing the solution or analysis?,"Select appropriate models, apply mathematical concepts, physical laws, and engineering fundamentals, and show appropriate units","In performing the solution or analysis, select appropriate models, apply mathematical concepts, physical laws, and engineering fundamentals, and show appropriate units.",MISC,,,
46,How do you verify results in problem solving?,"Check if the answer makes sense, know the range of answers, and understand other ways to analyze the problem","In verifying the results, check if the answer makes sense, know the range of answers, and understand other ways to analyze the problem.",MISC,,,
46,What should homework presentations include?,"Problem statement, extracted information, what is to be determined, solution, appropriate models, and step-by-step calculations","Homework presentations should include the problem statement, extracted information, what is to be determined, solution, appropriate models, and step-by-step calculations.",MISC,,,
46,What is conveyed in progress reports?,"Work completed, work expected, and any problems with recommended solutions","Progress reports are a short form of communication to convey work completed, work expected, and any problems with recommended solutions.",MISC,,,
46,What is the purpose of executive summaries?,To convey the findings of a study or proposal to top management,Executive summaries are brief forms of communication to top management to convey the findings of a study or proposal.,MISC,,,
46,What sections should a technical report include?,"Title, abstract, objectives, theory & analysis, apparatus & experimental procedures, data & results, discussion, conclusions & recommendations, references, appendix","Technical reports should include title, abstract, objectives, theory & analysis, apparatus & experimental procedures, data & results, discussion, conclusions & recommendations, references, and appendix.",MISC,,,
46,What sections should a design report include?,"Title, executive summary, design objectives, design assumptions, limitations & specifications, design summary, design drawings, alternative designs, economic analysis, conclusions & recommendations, references, appendix","Design reports should include title, executive summary, design objectives, design assumptions, limitations & specifications, design summary, design drawings, alternative designs, economic analysis, conclusions & recommendations, references, and appendix.",MISC,,,
47,Who visualized the importance of intelligence in this study?,Sun Tzu,For the purpose of this study…,PERSON,,,
47,What did Sun Tzu say about knowing the enemy and oneself?,"""If you know the enemy and know yourself, you need not fear the result of a hundred battles.""",He said…,MISC,,,
47,What happens if you know yourself but not the enemy?,You will suffer a defeat for every victory gained.,“If you know yourself…”,MISC,,,
47,What happens if you know neither the enemy nor yourself?,You will succumb in every battle.,“If you know neither…”,MISC,,,
47,What is intelligence?,"Knowledge acquired by the collection, evaluation, analysis, integration, and interpretation of information about an enemy.",Intelligence is knowledge acquired…,MISC,,,
47,What is counter-intelligence?,"Measures to safeguard information, personnel, and materials from espionage, subversion, and sabotage.",Counter-intelligence includes…,MISC,,,
47,What is the intelligence cycle?,A continuous process with no first or last phase.,The intelligence cycle is…,MISC,,,
47,How many phases are in the intelligence cycle?,Five phases,The five phases…,QUANTITY,,,
47,What are the phases of the intelligence cycle?,"Planning, collection, processing, analysis, dissemination",The five phases…,MISC,,,
47,What does planning determine?,Intelligence requirements and collection agencies,Planning determines…,MISC,,,
47,What are examples of intelligence requirements?,"Enemy capabilities, vulnerabilities, weather, terrain, order of battle",Intelligence requirements include…,MISC,,,
47,What must planning help prevent?,Tactical surprise,Preventing surprise…,MISC,,,
47,What is included in Essential Elements of Information?,The commander’s highest-priority requirements,Intelligence priorities include EEIs.,MISC,,,
47,What is a collection agency?,An individual or unit that exploits information sources,A collection agency is…,MISC,,,
47,What is processing in intelligence?,"Converting information into intelligence through recording, evaluation, interpretation",Processing converts…,MISC,,,
47,What does evaluation determine?,"Reliability, credibility, and value of information",Evaluation determines…,MISC,,,
47,What does interpretation do?,Determines significance and forms conclusions,Interpretation determines…,MISC,,,
47,What is dissemination?,Transmitting intelligence to appropriate units,Dissemination involves…,MISC,,,
47,What are key criteria in dissemination?,Timeliness and propriety,Timeliness and propriety…,MISC,,,
48,What is an arrest under Rule 113?,Taking a person into custody to answer for the commission of an offense.,"Based on Section 1, Rule 113…",MISC,,,
48,What is a warrant of arrest?,A court document ordering law enforcers to apprehend a named person.,A warrant of arrest is a document…,MISC,,,
48,What is a warrantless arrest?,An arrest made without a warrant.,A warrantless arrest is an arrest…,MISC,,,
48,When is arrest without warrant lawful?,"When the person commits, is committing, or attempts to commit an offense in the officer’s presence.",Arrest without warrant is lawful when…,MISC,,,
48,What is a hot pursuit arrest?,An arrest where an offense has just been committed and the officer has probable cause.,Arrest without warrant is also lawful…,MISC,,,
48,Who can be arrested as an escapee?,A person who escaped from penal custody.,Arrest without warrant is lawful when the person is an escapee…,MISC,,,
48,What must be avoided by an arresting officer?,Unnecessary force.,The arresting officer should not use unnecessary force.,MISC,,,
48,How much force should be used during arrest?,Only the force necessary to arrest the person.,Only necessary force should be used…,MISC,,,
48,What is execution of a warrant?,Finding and arresting the person named in the warrant.,Execution of a warrant means…,MISC,,,
48,When must an arresting officer inform the person of the warrant?,Upon making the arrest.,The person making the arrest must inform…,MISC,,,
48,How long is a warrant valid?,Ten days from receipt.,A warrant must be executed within ten days…,QUANTITY,,,
48,What is search?,A government intrusion into privacy.,A search is a form of government invasion…,MISC,,,
48,What is seizure?,Confiscation of property related to illegal activity.,Seizure is the confiscation of property…,MISC,,,
48,What is a search warrant?,A written order signed by a judge directing a peace officer to seize described property.,A search warrant is an order in writing…,MISC,,,
48,Where may an application for a search warrant be filed?,In any court within the territorial jurisdiction where the crime was committed.,A search warrant application may be filed…,LOC,,,
48,Where must the application be filed if the criminal action already exists?,In the court where the action is pending.,If the criminal action is already filed…,LOC,,,
48,Who must the judge question before issuing a warrant?,The complainant and possible witnesses.,A judge issues a warrant after questioning…,PERSON,,,
48,What must be described in a search warrant?,The place to be searched and the properties to be seized.,The place to be searched must be described…,MISC,,,
48,What is probable cause?,A strong ground that a crime was committed and evidence is in the place described.,Probable cause means…,MISC,,,
48,What must a search warrant be based on?,Probable cause.,A search warrant must only be issued upon probable cause…,MISC,,,
48,Who determines probable cause for a search warrant?,The judge.,Probable cause must be determined personally by the judge…,PERSON,,,
48,How must probable cause be established?,Through searching questions and answers.,Probable cause must be established through searching questions…,MISC,,,
48,What can invalidate a search warrant?,Lack of personal determination of probable cause by the judge.,Lack of personal determination… invalidates the warrant.,MISC,,,
48,What is the time limit for executing a search warrant?,Ten days from issuance.,A search warrant must be executed within ten days…,QUANTITY,,,
48,What happens after expiration of the 10-day period for a search warrant?,It becomes void.,"After ten days, the warrant becomes void.",MISC,,,
48,Who may break into a building during search?,The officer executing the warrant.,The officer may break into a building…,PERSON,,,
48,When may the officer forcibly enter?,After giving notice of authority and purpose and being refused entry.,Entry is allowed after notice and refusal…,MISC,,,
48,What must the officer do after seizing property?,Leave a receipt.,The officer must give a detailed receipt…,MISC,,,
48,Who must receive the inventory after a search?,The occupant or his representative.,The receipt must be given to the occupant…,PERSON,,,
48,Who should witness the inventory?,A barangay official or two credible persons.,The inventory must be witnessed by…,PERSON,,,
48,To whom must the officer deliver the seized items?,The issuing court.,The officer must deliver the seized items to the court…,LOC,,,
48,What is an invalid warrant for general search called?,A general warrant.,A warrant that does not particularly describe…,MISC,,,
48,Are general warrants allowed?,No.,General warrants are prohibited.,MISC,,,
48,What is search incidental to lawful arrest?,A search conducted immediately after a valid arrest.,Search incidental to arrest is allowed…,MISC,,,
48,What can be seized in a search incidental to arrest?,Dangerous weapons or evidence.,Items that may be seized include…,MISC,,,
48,What is a moving vehicle search based on?,Mobility of the vehicle and reduced expectation of privacy.,Moving vehicle searches rely on…,MISC,,,
